,Age,Gender,Race/Ethnicity,Census Region,Income Group,Occupation,Work Status,Education,Marital Status,Vote
322,1,2,1,2,3,3,1,3,1,0
323,1,2,1,3,1,0,8,5,2,1
324,1,2,1,3,4,2,1,3,1,1
325,3,2,2,3,0,3,5,1,5,0
326,3,2,2,3,2,6,7,3,1,0
327,3,2,1,4,2,6,7,1,5,0
328,2,2,1,3,3,1,1,6,2,0
329,1,1,1,3,2,2,1,6,1,0
330,2,1,1,2,4,3,1,2,1,0
331,2,1,1,2,3,3,1,3,1,1
332,1,2,1,2,1,3,1,5,3,1
333,1,2,1,4,5,2,4,5,1,1
334,2,1,1,2,4,1,1,6,1,1
335,2,2,1,3,3,2,1,3,1,1
336,3,1,1,3,2,3,5,3,1,1
337,1,1,2,3,3,1,1,6,2,1
338,3,1,1,4,2,3,1,3,5,1
339,3,2,1,4,3,3,5,2,5,1
340,1,1,1,4,4,5,1,6,7,1
341,2,2,1,3,4,2,5,3,1,0
342,3,2,1,3,1,1,5,3,2,0
343,3,2,1,1,4,2,1,3,1,0
344,3,2,1,1,5,2,1,6,1,1
345,1,2,1,3,2,2,1,5,2,0
346,1,1,2,3,3,2,4,3,1,0
347,2,2,1,4,3,6,7,5,1,0
348,1,1,1,3,2,3,1,3,2,1
349,1,1,1,3,3,1,1,6,2,1
350,2,2,1,3,3,1,1,6,1,1
351,2,1,2,1,3,3,1,6,1,0
352,3,2,1,4,4,1,5,6,1,0
353,3,2,1,4,2,6,7,3,1,0
354,3,1,1,2,4,0,5,0,1,0
355,2,1,1,3,4,1,1,6,1,0
356,2,1,1,3,0,1,1,6,2,0
357,2,1,3,4,2,5,1,5,4,1
358,2,1,1,4,3,1,1,6,2,0
359,1,1,5,4,2,3,1,3,4,0
360,1,2,1,2,3,3,1,3,1,0
361,1,2,1,2,3,3,1,6,2,1
362,1,2,5,4,4,0,8,5,1,0
363,3,1,1,2,1,3,5,1,1,0
364,3,1,1,2,1,3,5,1,1,0
365,2,2,1,3,3,1,1,6,2,0
366,3,1,1,2,3,3,5,3,5,1
367,2,1,1,3,4,1,1,6,1,0
368,1,2,1,4,4,6,7,5,1,1
369,1,2,1,3,4,2,1,5,1,0
370,1,2,1,3,5,2,1,6,1,1
371,2,1,2,4,3,3,1,3,3,1
372,2,1,1,4,4,1,1,6,1,1
373,2,2,1,4,2,6,7,5,1,1
374,2,1,2,2,4,1,1,6,7,1
375,1,1,1,2,4,2,1,6,1,1
376,2,2,1,2,2,3,1,3,2,0
377,1,2,1,4,4,6,7,5,1,1
378,2,2,1,4,4,1,1,6,1,0
379,1,2,2,2,1,6,7,2,2,0
380,2,2,1,2,5,1,1,6,1,1
381,2,1,1,1,3,3,1,3,3,1
382,3,2,5,3,1,6,7,1,1,1
383,1,1,1,4,3,1,1,5,1,1
384,2,2,1,1,5,1,1,6,1,0
385,3,2,1,4,1,3,1,2,5,0
386,1,1,1,3,1,0,8,5,2,1
387,1,1,1,4,4,1,1,5,1,0
388,2,2,2,1,4,3,1,5,1,0
389,2,1,1,2,3,3,1,6,1,1
390,1,2,1,2,3,1,1,6,1,0
391,3,1,1,2,5,2,5,6,1,1
392,1,1,1,1,3,1,1,6,1,1
393,1,2,1,3,3,1,1,6,2,0
394,2,1,1,3,5,2,1,6,1,1
395,1,1,1,4,4,2,1,3,1,0
396,2,2,1,4,3,6,7,3,1,0
397,2,2,1,1,4,6,7,3,1,0
398,2,2,2,3,3,6,7,6,1,0
399,3,2,1,1,3,2,1,3,5,1
400,2,2,1,2,4,2,1,6,1,0
401,1,2,1,3,4,2,1,6,1,0
402,2,1,1,3,4,1,1,6,1,1
403,2,1,1,2,4,3,1,5,1,0
404,2,1,1,2,4,1,1,3,3,1
405,2,1,1,3,4,1,1,6,1,0
406,3,1,1,3,4,2,5,5,1,0
407,2,1,1,3,5,1,1,6,1,1
408,2,2,1,3,3,2,1,5,3,0
409,2,2,1,1,3,2,1,5,3,0
410,1,2,1,1,4,1,1,6,7,1
411,1,1,1,2,3,3,1,5,1,0
412,2,1,1,2,3,1,1,6,2,0
413,1,1,1,4,3,1,4,5,3,0
414,2,1,1,3,4,1,1,6,1,1
415,2,2,1,1,4,1,1,3,5,0
416,1,2,1,2,3,2,4,3,2,0
417,3,2,1,2,0,3,5,2,5,1
418,2,2,1,3,3,1,1,2,1,1
419,1,2,2,2,1,3,1,3,2,0
420,2,2,1,2,3,1,1,6,1,1
421,2,1,1,3,5,1,1,6,1,1
422,2,2,1,3,5,1,1,6,1,1
423,1,2,2,3,4,2,1,6,1,0
424,2,2,1,2,4,6,7,6,1,1
425,2,2,1,3,4,1,1,0,1,1
426,2,1,1,2,4,1,1,6,1,1
427,2,1,1,3,4,1,1,6,1,1
428,1,1,1,4,0,2,1,0,1,0
429,2,2,1,4,3,2,4,5,2,0
430,2,2,1,4,4,6,7,5,1,0
431,2,2,1,3,5,1,1,6,1,1
432,1,1,1,4,4,1,1,6,7,0
433,2,1,1,3,4,1,1,6,1,0
434,2,2,1,1,3,6,7,3,1,0
435,2,2,1,3,3,2,5,5,1,0
436,2,1,1,3,4,2,1,6,1,1
437,2,2,1,4,3,1,1,3,2,0
438,3,2,1,3,1,2,1,3,5,1
439,1,2,2,1,2,3,1,5,2,0
440,2,2,1,3,4,2,1,6,7,0
441,2,1,1,2,4,3,1,3,1,0
442,1,2,1,3,3,1,1,5,3,1
443,2,1,1,1,4,1,4,3,1,0
444,2,2,1,2,4,3,1,3,1,1
445,2,2,1,4,3,2,1,3,1,0
446,2,2,1,2,3,1,1,6,3,0
447,3,2,1,3,2,1,5,5,2,1
448,3,2,1,2,3,6,7,3,1,1
449,2,1,1,2,4,1,1,3,1,1
450,1,2,1,2,3,3,1,3,1,1
451,2,1,1,4,4,3,1,5,1,1
452,2,2,1,4,4,2,1,6,7,0
453,1,2,5,3,2,3,4,3,1,0
454,1,2,1,4,4,2,1,3,1,0
455,2,1,1,1,3,3,1,6,2,1
456,2,2,1,3,4,3,1,6,1,0
457,2,1,5,3,4,5,1,3,1,1
458,1,2,1,4,4,2,1,5,1,1
459,2,2,1,2,4,2,1,3,1,1
460,3,1,1,2,3,3,5,3,1,0
461,1,1,1,1,4,3,1,3,1,0
462,1,2,5,2,2,0,8,5,2,0
463,1,1,1,2,0,2,1,5,2,1
464,2,2,1,4,4,0,8,0,1,0
465,2,2,1,2,2,3,1,3,3,0
466,2,1,1,3,3,3,1,3,1,0
467,2,2,1,1,4,1,1,5,3,0
468,3,1,5,4,2,4,5,3,1,0
469,1,2,5,4,3,2,1,6,1,1
470,2,1,1,3,0,1,1,5,3,1
471,1,2,1,3,4,1,1,6,1,0
472,2,1,1,1,3,3,1,3,4,0
473,2,1,1,2,4,3,1,5,1,1
474,3,2,1,3,2,1,5,5,1,0
475,1,2,5,3,3,6,7,3,1,0
476,3,2,1,3,3,2,1,5,1,1
477,2,1,1,3,4,3,1,3,1,1
478,2,1,1,3,1,3,4,6,3,0
479,2,1,5,2,3,1,1,6,2,0
480,2,2,1,2,2,2,5,3,3,1
481,2,2,1,1,5,3,1,3,2,0
482,1,1,1,3,3,3,1,3,1,1
483,3,1,1,4,4,2,1,5,1,0
484,1,1,1,3,3,1,1,6,1,1
485,2,2,1,2,0,1,5,6,1,1
486,2,1,1,2,4,2,1,6,1,1
487,2,2,1,3,2,3,1,5,1,0
488,2,1,1,3,5,1,1,6,2,1
489,2,2,1,3,1,3,6,1,3,0
490,2,1,1,2,3,3,1,5,2,1
491,2,1,1,3,4,1,1,6,1,1
492,2,2,1,1,4,1,1,6,1,0
493,1,1,2,3,2,3,1,5,2,0
494,3,2,1,2,0,6,7,3,5,0
495,2,2,1,3,4,1,5,6,5,0
496,1,2,1,2,3,3,1,3,1,0
497,3,1,1,1,4,3,5,2,2,0
498,2,1,1,3,0,3,1,3,1,0
499,1,2,1,1,4,6,7,6,1,0
500,2,1,1,3,4,3,1,3,1,0
