Background - Semiconductor,Background - Semiconductor,Background - Semiconductor,Heating Up - Semiconductor,Heating Up - Semiconductor,Heating Up - Semiconductor,Cooling Down - Semiconductor,Cooling Down - Semiconductor,Cooling Down - Semiconductor,Background - Metal,Background - Metal,Background - Metal,Heating Up - Metal,Heating Up - Metal,Heating Up - Metal,Cooling Down - Metal,Cooling Down - Metal,Cooling Down - Metal
Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C)
,,,,,,1310.000,0.701,163,,,,,,,1310.000,8.857,199
,,,,,,1320.000,0.703,162,,,,,,,1320.000,8.846,198
,,,,,,1330.000,0.709,161,,,,,,,1330.000,8.832,197
,,,,,,1340.000,0.712,161,,,,,,,1340.000,8.819,197
,,,,,,1350.000,0.717,159,,,,,,,1350.000,8.804,196
,,,,,,1360.000,0.722,159,,,,,,,1360.000,8.792,195
,,,,,,1370.000,0.726,158,,,,,,,1370.000,8.779,194
,,,,,,1380.000,0.731,158,,,,,,,1380.000,8.765,193
,,,,,,1390.000,0.732,157,,,,,,,1390.000,8.754,193
,,,,,,1400.000,0.737,156,,,,,,,1400.000,8.738,192
,,,,,,1410.000,0.742,156,,,,,,,1410.000,8.726,191
,,,,,,1420.000,0.752,155,,,,,,,1420.000,8.712,190
,,,,,,1430.000,0.751,155,,,,,,,1430.000,8.701,190
,,,,,,1440.000,0.756,154,,,,,,,1440.000,8.687,189
,,,,,,1450.000,0.761,154,,,,,,,1450.000,8.674,188
,,,,,,1460.000,0.763,153,,,,,,,1460.000,8.662,188
,,,,,,1470.000,0.767,152,,,,,,,1470.000,8.646,187
,,,,,,1480.000,0.771,152,,,,,,,1480.000,8.637,186
,,,,,,1490.000,0.777,151,,,,,,,1490.000,8.622,185
,,,,,,1500.000,0.781,150,,,,,,,1500.000,8.612,185
,,,,,,1510.000,0.785,150,,,,,,,1510.000,8.599,184
,,,,,,1520.000,0.790,149,,,,,,,1520.000,8.585,183
,,,,,,1530.000,0.791,148,,,,,,,1530.000,8.575,183
,,,,,,1540.000,0.796,148,,,,,,,1540.000,8.562,182
,,,,,,1550.000,0.801,147,,,,,,,1550.000,8.551,180
,,,,,,1560.000,0.804,147,,,,,,,1560.000,8.538,180
,,,,,,1570.000,0.809,146,,,,,,,1570.000,8.527,179
,,,,,,1580.000,0.812,145,,,,,,,1580.000,8.515,178
,,,,,,1590.000,0.815,145,,,,,,,1590.000,8.503,177
,,,,,,1600.000,0.820,144,,,,,,,1600.000,8.489,176
,,,,,,1610.000,0.825,143,,,,,,,1610.000,8.481,176
,,,,,,1620.000,0.827,143,,,,,,,1620.000,8.466,175
,,,,,,1630.000,0.833,142,,,,,,,1630.000,8.456,174
,,,,,,1640.000,0.834,141,,,,,,,1640.000,8.443,174
,,,,,,1650.000,0.841,141,,,,,,,1650.000,8.433,173
,,,,,,1660.000,0.844,140,,,,,,,1660.000,8.422,172
,,,,,,1670.000,0.848,140,,,,,,,1670.000,8.409,172
,,,,,,1680.000,0.851,139,,,,,,,1680.000,8.400,171
,,,,,,1690.000,0.856,138,,,,,,,1690.000,8.387,170
,,,,,,1700.000,0.859,138,,,,,,,1700.000,8.378,170
,,,,,,1710.000,0.864,137,,,,,,,1710.000,8.364,169
,,,,,,1720.000,0.867,137,,,,,,,1720.000,8.355,169
,,,,,,1730.000,0.871,136,,,,,,,1730.000,8.343,168
,,,,,,1740.000,0.873,136,,,,,,,1740.000,8.332,167
,,,,,,1750.000,0.879,135,,,,,,,1750.000,8.322,166
,,,,,,1760.000,0.882,135,,,,,,,1760.000,8.311,166
,,,,,,1770.000,0.886,134,,,,,,,1770.000,8.300,166
,,,,,,1780.000,0.890,133,,,,,,,1780.000,8.290,166
,,,,,,1790.000,0.893,133,,,,,,,1790.000,8.281,163
,,,,,,1800.000,0.898,132,,,,,,,1800.000,8.266,162
,,,,,,1810.000,0.901,132,,,,,,,1810.000,8.256,162
,,,,,,1820.000,0.903,131,,,,,,,1820.000,8.247,161
,,,,,,1830.000,0.908,131,,,,,,,1830.000,8.235,161
,,,,,,1840.000,0.911,130,,,,,,,1840.000,8.226,160
,,,,,,1850.000,0.915,130,,,,,,,1850.000,8.215,159
,,,,,,1860.000,0.919,129,,,,,,,1860.000,8.202,159
,,,,,,1870.000,0.922,129,,,,,,,1870.000,8.196,158
,,,,,,1880.000,0.927,128,,,,,,,1880.000,8.184,157
,,,,,,1890.000,0.929,128,,,,,,,1890.000,8.174,153
,,,,,,1900.000,0.932,127,,,,,,,1900.000,8.163,152
,,,,,,1910.000,0.938,122,,,,,,,1910.000,8.155,152
,,,,,,1920.000,0.941,122,,,,,,,1920.000,8.143,151
,,,,,,1930.000,0.945,125,,,,,,,1930.000,8.134,151
,,,,,,1940.000,0.947,124,,,,,,,1940.000,8.123,150
,,,,,,1950.000,0.952,123,,,,,,,1950.000,8.114,150
,,,,,,1960.000,0.954,122,,,,,,,1960.000,8.104,149
,,,,,,1970.000,0.957,121,,,,,,,1970.000,8.096,149
,,,,,,1980.000,0.963,120,,,,,,,1980.000,8.085,148
,,,,,,1990.000,0.965,119,,,,,,,1990.000,8.075,147
,,,,,,2000.000,0.967,118,,,,,,,2000.000,8.066,147
,,,,,,2010.000,0.971,117,,,,,,,2010.000,8.056,146
,,,,,,2020.000,0.976,117,,,,,,,2020.000,8.049,146
,,,,,,2030.000,0.979,116,,,,,,,2030.000,8.035,145
,,,,,,2040.000,0.981,116,,,,,,,2040.000,8.028,144
,,,,,,2050.000,0.984,116,,,,,,,2050.000,8.017,144
,,,,,,2060.000,0.990,115,,,,,,,2060.000,8.010,143
,,,,,,2070.000,0.991,115,,,,,,,2070.000,7.999,143
,,,,,,2080.000,0.995,114,,,,,,,2080.000,7.990,142
,,,,,,2090.000,0.999,114,,,,,,,2090.000,7.982,142
,,,,,,2100.000,1.001,114,,,,,,,2100.000,7.972,141
,,,,,,2110.000,1.005,114,,,,,,,2110.000,7.963,141
,,,,,,2120.000,1.008,113,,,,,,,2120.000,7.953,140
,,,,,,2130.000,1.011,113,,,,,,,2130.000,7.944,140
,,,,,,2140.000,1.014,112,,,,,,,2140.000,7.935,139
,,,,,,2150.000,1.019,112,,,,,,,2150.000,7.928,138
,,,,,,2160.000,1.021,111,,,,,,,2160.000,7.918,138
,,,,,,2170.000,1.024,111,,,,,,,2170.000,7.908,138
,,,,,,2180.000,1.027,111,,,,,,,2180.000,7.901,137
,,,,,,2190.000,1.030,110,,,,,,,2190.000,7.892,137
,,,,,,2200.000,1.035,110,,,,,,,2200.000,7.884,136
,,,,,,2210.000,1.038,109,,,,,,,2210.000,7.875,136
,,,,,,2220.000,1.039,109,,,,,,,2220.000,7.865,135
,,,,,,2230.000,1.044,108,,,,,,,2230.000,7.860,135
,,,,,,2240.000,1.045,108,,,,,,,2240.000,7.849,134
,,,,,,2250.000,1.048,108,,,,,,,2250.000,7.842,134
,,,,,,2260.000,1.056,106,,,,,,,2260.000,7.831,133
,,,,,,2270.000,1.055,106,,,,,,,2270.000,7.825,133
,,,,,,2280.000,1.059,105,,,,,,,2280.000,7.816,132
,,,,,,2290.000,1.061,105,,,,,,,2290.000,7.805,132
,,,,,,2300.000,1.064,105,,,,,,,2300.000,7.799,131
,,,,,,2310.000,1.068,104,,,,,,,2310.000,7.790,131
,,,,,,2320.000,1.069,104,,,,,,,2320.000,7.782,130
,,,,,,2330.000,1.072,104,,,,,,,2330.000,7.773,130
,,,,,,2340.000,1.075,103,,,,,,,2340.000,7.767,130
,,,,,,2350.000,1.099,101,,,,,,,2350.000,7.758,129
,,,,,,2360.000,1.110,100,,,,,,,2360.000,7.749,129
,,,,,,2370.000,1.118,99,,,,,,,2370.000,7.744,128
,,,,,,2380.000,1.122,99,,,,,,,2380.000,7.734,128
,,,,,,2390.000,1.127,99,,,,,,,2390.000,7.728,127
,,,,,,2400.000,1.130,98,,,,,,,2400.000,7.717,127
,,,,,,2410.000,1.133,98,,,,,,,2410.000,7.710,126
,,,,,,2420.000,1.135,98,,,,,,,2420.000,7.703,126
,,,,,,2430.000,1.139,98,,,,,,,2430.000,7.695,125
,,,,,,2440.000,1.142,97,,,,,,,2440.000,7.687,125
,,,,,,2450.000,1.145,97,,,,,,,2450.000,7.682,125
,,,,,,2460.000,1.147,97,,,,,,,2460.000,7.675,124
,,,,,,2470.000,1.150,96,,,,,,,2470.000,7.665,124
,,,,,,2480.000,1.152,96,,,,,,,2480.000,7.661,123
,,,,,,2490.000,1.156,96,,,,,,,2490.000,7.653,122
,,,,,,2500.000,1.160,95,,,,,,,2500.000,7.643,122
,,,,,,2510.000,1.162,95,,,,,,,2510.000,7.634,121
,,,,,,2520.000,1.164,95,,,,,,,2520.000,7.629,121
,,,,,,2530.000,1.166,95,,,,,,,2530.000,7.618,120
,,,,,,2540.000,1.171,94,,,,,,,2540.000,7.614,120
,,,,,,2550.000,1.172,94,,,,,,,2550.000,7.607,120
,,,,,,2560.000,1.176,93,,,,,,,2560.000,7.601,119
,,,,,,2570.000,1.180,93,,,,,,,2570.000,7.592,119
,,,,,,2580.000,1.183,93,,,,,,,2580.000,7.583,118
,,,,,,2590.000,1.183,93,,,,,,,2590.000,7.578,118
,,,,,,2600.000,1.187,92,,,,,,,2600.000,7.571,118
,,,,,,2610.000,1.190,92,,,,,,,2610.000,7.563,117
,,,,,,2620.000,1.194,92,,,,,,,2620.000,7.559,117
,,,,,,2630.000,1.196,91,,,,,,,2630.000,7.548,116
,,,,,,2640.000,1.197,91,,,,,,,2640.000,7.544,117
,,,,,,2650.000,1.201,91,,,,,,,2650.000,7.534,116
,,,,,,2660.000,1.205,91,,,,,,,2660.000,7.530,116
,,,,,,2670.000,1.205,90,,,,,,,2670.000,7.523,115
,,,,,,2680.000,1.210,90,,,,,,,2680.000,7.515,115
,,,,,,2690.000,1.212,90,,,,,,,2690.000,7.509,115
,,,,,,2700.000,1.215,89,,,,,,,2700.000,7.503,114
,,,,,,2710.000,1.216,89,,,,,,,2710.000,7.494,114
,,,,,,2720.000,1.219,89,,,,,,,2720.000,7.489,113
,,,,,,2730.000,1.222,89,,,,,,,2730.000,7.484,113
,,,,,,2740.000,1.225,88,,,,,,,2740.000,7.474,113
,,,,,,2750.000,1.227,88,,,,,,,2750.000,7.467,112
,,,,,,2760.000,1.231,88,,,,,,,2760.000,7.461,112
,,,,,,2770.000,1.232,87,,,,,,,2770.000,7.455,111
,,,,,,2780.000,1.235,87,,,,,,,2780.000,7.447,111
,,,,,,2790.000,1.238,87,,,,,,,2790.000,7.440,111
,,,,,,2800.000,1.240,87,,,,,,,2800.000,7.436,110
,,,,,,2810.000,1.245,86,,,,,,,2810.000,7.429,110
,,,,,,2820.000,1.244,86,,,,,,,2820.000,7.424,110
,,,,,,2830.000,1.249,86,,,,,,,2830.000,7.416,109
,,,,,,2840.000,1.249,86,,,,,,,2840.000,7.411,109
,,,,,,2850.000,1.254,85,,,,,,,2850.000,7.402,109
,,,,,,2860.000,1.254,85,,,,,,,2860.000,7.396,108
