ID|STAR|PERIOD|V_INTMEAN|L|B
225.0|SU Cyg|3.845492|6.859|64.76|2.50
226.0|SZ Cyg|15.109642|9.432|84.45|3.98
227.0|TX Cyg|14.708157|9.511|84.35|-2.30
228.0|VX Cyg|20.133407|10.069|82.18|-3.49
229.0|VY Cyg|7.856982|9.593|82.90|-4.62
230.0|VZ Cyg|4.864453|8.959|91.52|-8.51
231.0|BZ Cyg|10.141932|10.213|84.80|1.38
232.0|CD Cyg|17.073967|8.947|71.07|1.43
233.0|DT Cyg|2.499082|5.774|76.55|-10.78
234.0|EP Cyg|4.318600|12.739|66.58|3.49
235.0|EX Cyg|4.850793|12.980|67.51|1.72
236.0|EZ Cyg|11.659717|11.088|67.07|0.58
237.0|GH Cyg|7.817930|9.924|66.52|-0.08
238.0|GI Cyg|5.782550|11.751|70.21|2.10
239.0|IY Cyg|21.752570|13.097|68.09|1.77
240.0|KX Cyg|20.046700|11.935|78.62|1.71
241.0|MW Cyg|5.954586|9.489|70.92|-0.63
242.0|V347 Cyg|8.736200|12.480|86.04|1.16
243.0|V356 Cyg|5.057610|12.443|88.34|-0.56
244.0|V386 Cyg|5.257606|9.635|85.52|-4.89
245.0|V396 Cyg|33.247000|11.415|79.04|3.84
246.0|V402 Cyg|4.364836|9.873|74.15|2.26
247.0|V438 Cyg|11.211058|10.937|77.63|2.28
248.0|V459 Cyg|7.251250|10.601|90.47|0.69
249.0|V492 Cyg|7.580170|12.389|72.92|0.96
250.0|V495 Cyg|6.716310|10.621|73.12|-0.07
251.0|V514 Cyg|5.098910|11.431|84.96|1.46
252.0|V520 Cyg|4.049068|10.851|87.50|1.60
253.0|V532 Cyg|3.283612|9.086|88.96|-3.04
254.0|V538 Cyg|6.118961|10.456|95.32|-0.40
255.0|V547 Cyg|6.225410|13.391|71.64|3.40
256.0|V554 Cyg|4.327815|14.176|76.51|4.19
257.0|V609 Cyg|31.072000|11.002|96.02|2.68
258.0|V621 Cyg|5.864000|11.754|93.03|-1.77
259.0|V641 Cyg|3.530860||92.20|-4.36
260.0|V924 Cyg|5.571472|10.710|66.88|5.33
261.0|V1020 Cyg|4.919964|13.711|69.28|1.62
262.0|V1025 Cyg|6.961760|12.984|67.94|0.38
263.0|V1033 Cyg|4.937512|13.027|69.94|0.49
264.0|V1046 Cyg|4.944500|12.356|74.49|0.65
265.0|V1154 Cyg|4.925460|9.190|77.22|8.76
266.0|V1334 Cyg|3.333020|5.871|83.62|-7.95
267.0|V1336 Cyg|31.770000||89.39|-3.45
268.0|V1364 Cyg|12.976400|13.263|72.45|1.56
269.0|V1467 Cyg|48.600000|13.487|69.65|0.65
270.0|V1726 Cyg|4.237060|9.009|92.51|-1.61
271.0|Beta Dor|9.842425|3.731|271.73|-32.78
272.0|W Gem|7.913779|6.950|197.43|3.38
273.0|RZ Gem|5.529286|10.007|187.72|-0.09
274.0|AA Gem|11.302328|9.721|184.59|2.70
275.0|AD Gem|3.787980|9.857|193.27|7.63
276.0|BW Gem|2.635010||187.89|3.35
277.0|DX Gem|3.137486|10.746|198.07|2.76
278.0|Zeta Gem|10.150730|3.918|195.75|11.90
279.0|V Lac|4.983468|8.936|106.47|-2.57
280.0|X Lac|5.444990|8.407|106.57|-2.50
281.0|Y Lac|4.323776|9.146|98.72|-4.03
282.0|Z Lac|10.885613|8.415|105.76|-1.62
283.0|RR Lac|6.416243|8.848|105.64|-2.01
284.0|WX Lac|7.516000||101.01|-1.72
285.0|BG Lac|5.331932|8.883|92.97|-9.26
286.0|DF Lac|4.479250|11.873|102.21|-2.18
287.0|FQ Lac|11.266400|13.740|106.32|-4.79
288.0|GH Lup|9.277948|7.635|324.95|3.34
289.0|V473 Lyr|1.490780|6.182|60.56|7.44
290.0|T Mon|27.024649|6.124|203.63|-2.55
291.0|SV Mon|15.232780|8.219|203.74|-3.67
292.0|TW Mon|7.096900|12.575|212.82|-0.19
293.0|TX Mon|8.701731|10.960|214.14|-0.78
294.0|TY Mon|4.022695|11.740|213.36|1.25
295.0|TZ Mon|7.428014|10.761|214.01|1.29
296.0|UY Mon|2.397970|9.391|205.17|6.00
297.0|VZ Mon|5.083400|13.589|200.10|0.98
298.0|WW Mon|4.662310|12.505|202.71|0.27
299.0|XX Mon|5.456473|11.898|215.52|-1.11
300.0|YY Mon|3.454700|13.761|220.07|-2.88
301.0|AA Mon|3.938164|12.707|217.03|-0.43
302.0|AC Mon|8.014250|10.067|221.77|-1.85
303.0|BE Mon|2.705510|10.578|204.87|0.96
304.0|BV Mon|3.014960|11.431|209.51|3.25
305.0|CS Mon|6.731920|11.002|204.82|-1.23
306.0|CU Mon|4.707873|13.607|210.76|-4.13
307.0|CV Mon|5.378898|10.299|208.57|-1.79
308.0|EE Mon|4.808960|12.941|219.97|-3.77
309.0|EK Mon|3.957941|11.048|215.27|-0.82
310.0|FG Mon|4.496590|13.310|221.65|-0.09
311.0|FI Mon|3.287822|12.924|221.48|1.02
312.0|V446 Mon|1.919459|14.538|210.97|-1.28
313.0|V447 Mon|2.483800|14.108|208.12|0.46
314.0|V465 Mon|2.713176|10.379|214.90|3.69
315.0|V484 Mon|3.135233|13.726|212.53|-5.51
316.0|V495 Mon|4.096583|12.427|213.81|-4.49
317.0|V504 Mon|2.774050|11.814|215.69|-3.29
318.0|V508 Mon|4.133608|10.518|208.91|0.86
319.0|V510 Mon|7.307175|12.681|210.24|0.26
320.0|V526 Mon|2.674985|8.597|215.13|1.81
321.0|V559 Mon|7.998000||202.25|1.62
322.0|R Mus|7.510467|6.298|302.10|-6.55
323.0|S Mus|9.659875|6.118|299.64|-7.53
324.0|RT Mus|3.086170|9.022|296.53|-5.27
325.0|TZ Mus|4.944885|11.702|296.63|-3.01
326.0|UU Mus|11.636410|9.781|296.83|-3.24
327.0|UX Mus|7.142200||299.45|-3.11
