ID       |B     |R_Sun|R_gc |[Fe/H]|sig_v|r_h |lg(th)
NGC 6656 | -7.55|  3.2|  4.9| -1.70| 7.8 |3.36| 9.23
Pal 8    | -6.79| 12.8|  5.5| -0.37|     |0.58| 8.47
NGC 6681 |-12.51|  9.0|  2.2| -1.62| 5.2 |0.71| 8.65
GLIMPSE01| -0.10|  4.2|  4.9|      |     |0.65| 7.89
NGC 6712 | -4.32|  6.9|  3.5| -1.02| 4.3 |1.33| 8.95
NGC 6715 |-14.09| 26.5| 18.9| -1.49|10.5 |0.82| 9.93
NGC 6717 |-10.90|  7.1|  2.4| -1.26|     |0.68| 8.22
NGC 6723 |-17.30|  8.7|  2.6| -1.10|     |1.53| 9.24
NGC 6749 | -2.21|  7.9|  5.0| -1.60|     |1.10| 8.78
NGC 6752 |-25.63|  4.0|  5.2| -1.54| 4.9 |1.91| 8.87
NGC 6760 | -3.92|  7.4|  4.8| -0.40|     |1.27| 9.01
NGC 6779 |  8.34|  9.4|  9.2| -1.98| 4.0 |1.10| 9.01
Terzan 7 |-20.07| 22.8| 15.6| -0.32|     |0.77| 8.96
Pal 10   |  2.72|  5.9|  6.4| -0.10|     |0.99| 8.37
Arp 2    |-20.79| 28.6| 21.4| -1.75|     |1.77| 9.70
NGC 6809 |-23.27|  5.4|  3.9| -1.94| 4.0 |2.83| 9.29
Terzan 8 |-24.56| 26.3| 19.4| -2.16|     |0.95| 9.21
Pal 11   |-15.57| 13.4|  8.2| -0.40|     |1.46| 9.34
NGC 6838 | -4.56|  4.0|  6.7| -0.78| 2.3 |1.67| 8.43
NGC 6864 |-25.75| 20.9| 14.7| -1.29|10.3 |0.46| 9.15
NGC 6934 |-18.89| 15.6| 12.8| -1.47| 5.1 |0.69| 9.04
NGC 6981 |-32.68| 17.0| 12.9| -1.42|     |0.93| 9.23
NGC 7006 |-19.41| 41.2| 38.5| -1.52|     |0.44| 9.42
NGC 7078 |-27.31| 10.4| 10.4| -2.37|13.5 |1.00| 9.32
NGC 7089 |-35.77| 11.5| 10.4| -1.65| 8.2 |1.06| 9.40
NGC 7099 |-46.84|  8.1|  7.1| -2.27| 5.5 |1.03| 8.88
Pal 12   |-47.68| 19.0| 15.8| -0.85|     |1.72| 9.28
Pal 13   |-42.70| 26.0| 26.9| -1.88| 0.9 |0.36| 8.35
NGC 7492 |-63.48| 26.3| 25.3| -1.78| 1.2 |1.15| 9.44
